onset	duration	sample	value	trial_type	response_time	stim_file
311.196	n/a	n/a	S  8	STATUS	n/a	n/a
311.196	n/a	n/a	R  6	STATUS	n/a	n/a
311.882	n/a	n/a	S  4	Up Button	n/a	n/a
312.114	n/a	n/a	S  8	STATUS	n/a	n/a
312.114	n/a	n/a	R 12	STATUS	n/a	n/a
313.17	n/a	n/a	S  1	Fixation	n/a	n/a
314.022	n/a	n/a	S  6	STATUS	n/a	n/a
314.022	n/a	n/a	R  6	STATUS	n/a	n/a
314.522	n/a	n/a	S  4	Up Button	n/a	n/a
314.694	n/a	n/a	S  9	STATUS	n/a	n/a
314.694	n/a	n/a	R 12	STATUS	n/a	n/a
315.615	0.774	n/a	boundary	n/a	n/a	n/a
315.808	n/a	n/a	S  6	STATUS	n/a	n/a
315.808	n/a	n/a	R  6	STATUS	n/a	n/a
316.256	n/a	n/a	S  4	Up Button	n/a	n/a
316.508	n/a	n/a	S  9	STATUS	n/a	n/a
316.508	n/a	n/a	R 12	STATUS	n/a	n/a
317.475	0.498	n/a	boundary	n/a	n/a	n/a
317.766	n/a	n/a	S  9	STATUS	n/a	n/a
317.766	n/a	n/a	R  6	STATUS	n/a	n/a
318.502	n/a	n/a	S  3	Left Button	n/a	n/a
318.754	n/a	n/a	S  9	STATUS	n/a	n/a
318.754	n/a	n/a	R 12	STATUS	n/a	n/a
319.81	n/a	n/a	S  1	Fixation	n/a	n/a
320.462	n/a	n/a	S  6	STATUS	n/a	n/a
320.462	n/a	n/a	R  6	STATUS	n/a	n/a
321.022	n/a	n/a	S  4	Up Button	n/a	n/a
321.234	n/a	n/a	S  8	STATUS	n/a	n/a
321.234	n/a	n/a	R 12	STATUS	n/a	n/a
322.29	n/a	n/a	S  1	Fixation	n/a	n/a
323.062	n/a	n/a	S 10	STATUS	n/a	n/a
323.062	n/a	n/a	R  6	STATUS	n/a	n/a
323.99	n/a	n/a	S  2	Right Button	n/a	n/a
324.162	n/a	n/a	S  9	STATUS	n/a	n/a
324.162	n/a	n/a	R 12	STATUS	n/a	n/a
325.22	n/a	n/a	S  1	Fixation	n/a	n/a
326.03	n/a	n/a	S  9	STATUS	n/a	n/a
326.03	n/a	n/a	R  6	STATUS	n/a	n/a
326.602	n/a	n/a	S  3	Left Button	n/a	n/a
326.794	n/a	n/a	S  9	STATUS	n/a	n/a
326.794	n/a	n/a	R 12	STATUS	n/a	n/a
327.85	n/a	n/a	S  1	Fixation	n/a	n/a
328.55	n/a	n/a	S  9	STATUS	n/a	n/a
328.55	n/a	n/a	R  6	STATUS	n/a	n/a
329.17	n/a	n/a	S  3	Left Button	n/a	n/a
329.362	n/a	n/a	S  9	STATUS	n/a	n/a
329.362	n/a	n/a	R 12	STATUS	n/a	n/a
330.418	n/a	n/a	S  1	Fixation	n/a	n/a
331.09	n/a	n/a	S  9	STATUS	n/a	n/a
331.09	n/a	n/a	R  6	STATUS	n/a	n/a
331.726	n/a	n/a	S  3	Left Button	n/a	n/a
